Term,RGB,,,,
r15 r15,"rgb(230, 187, 165)",,,,
rsi rbx,"rgb(229, 195, 158)",,,,
rax [rbx,"rgb(229, 194, 159)",,,,
[rcx] 0,"rgb(229, 193, 160)",,,,
r8 r13,"rgb(229, 192, 161)",,,,
#NAME?,"rgb(229, 191, 162)",,,,
movzx r10d,"rgb(229, 190, 163)",,,,
rdx rbp,"rgb(229, 189, 164)",,,,
- 0x54],"rgb(229, 188, 165)",,,,
rsi 1,"rgb(228, 195, 159)",,,,
rdi r8,"rgb(228, 194, 160)",,,,
rsp 0x58,"rgb(228, 193, 161)",,,,
rax r13,"rgb(228, 192, 162)",,,,
r13 rdx,"rgb(228, 191, 163)",,,,
- 0x39],"rgb(228, 190, 164)",,,,
add r9,"rgb(228, 189, 165)",,,,
rax 4,"rgb(227, 195, 160)",,,,
esp 0xc,"rgb(227, 194, 161)",,,,
0x30] 1,"rgb(227, 193, 162)",,,,
+ rdx*8],"rgb(227, 192, 163)",,,,
test r15,"rgb(227, 191, 164)",,,,
- 0x29],"rgb(227, 190, 165)",,,,
rdx 0x10,"rgb(226, 195, 161)",,,,
r13d eax,"rgb(226, 194, 162)",,,,
rcx [rdi,"rgb(226, 193, 163)",,,,
r11 [rsp,"rgb(226, 192, 164)",,,,
+ rdi],"rgb(226, 191, 165)",,,,
cmp r15,"rgb(225, 195, 162)",,,,
es:[edi] dx,"rgb(225, 194, 163)",,,,
+ r8],"rgb(225, 193, 164)",,,,
insb byte,"rgb(225, 192, 165)",,,,
0x40] xmm0,"rgb(224, 195, 163)",,,,
mov rsp,"rgb(224, 194, 164)",,,,
+ 0xf8],"rgb(224, 193, 165)",,,,
cmp r14,"rgb(223, 195, 164)",,,,
0x60] rax,"rgb(223, 194, 165)",,,,
0x19] 0,"rgb(222, 195, 165)",,,,
+ 0xe0100],"rgb(235, 195, 151)",,,,
- 0x41],"rgb(235, 194, 152)",,,,
test sil,"rgb(235, 193, 153)",,,,
+ 0x140],"rgb(235, 192, 154)",,,,
rcx r9,"rgb(235, 191, 155)",,,,
rdi 1,"rgb(235, 190, 156)",,,,
rcx 8,"rgb(235, 189, 157)",,,,
and rax,"rgb(235, 188, 158)",,,,
r13d dword,"rgb(235, 187, 159)",,,,
eax r9d,"rgb(235, 186, 160)",,,,
test r9d,"rgb(235, 185, 161)",,,,
